date,open,high,low,close,adj close,volume,daily_return,close_lag_1,close_lag_3,close_lag_7,ma_5,ma_10,ma_20,volatility_10,rsi,macd,macd_signal,price_range,volume_change
2010-07-27,20.91,21.18,20.26,20.549999,20.549999,619700.0,-0.019093173312974998,20.950001,21.0,20.639999,20.802,20.658999700000003,19.8714997,0.04699631546474439,72.77083759787268,-0.39978285454246176,-0.7350697787442788,0.9199999999999982,-0.32801995228800696
2010-07-28,20.549999,20.9,20.51,20.719999,20.719999,467200.0,0.008272506485280218,20.549999,21.290001,21.91,20.901999999999997,20.746999600000002,19.7129997,0.03763418621147322,68.23264995571591,-0.3506071053202078,-0.6581772440594645,0.389999999999997,-0.24608681620138773
2010-07-29,20.77,20.879999,20.0,20.35,20.35,616000.0,-0.017857095456423555,20.719999,20.950001,20.299999,20.772,20.7929997,19.5389997,0.03832822562385077,65.94593560263638,-0.33759916384612865,-0.5940616280167973,0.8799990000000015,0.31849315068493156
2010-07-30,20.200001,20.440001,19.549999,19.940001,19.940001,426900.0,-0.020147371007371184,20.35,20.549999,20.219999,20.502000000000002,20.7229999,19.4379998,0.036837149620748515,65.52094929282521,-0.35626694572431816,-0.5465026915583016,0.8900019999999991,-0.3069805194805195
2010-08-02,20.5,20.969999,20.33,20.92,20.92,718100.0,0.04914738971176602,19.940001,20.719999,21.0,20.4959998,20.6239999,19.52399975,0.03457157269429048,65.10869616020778,-0.2886561201790272,-0.4949333772824467,0.6399990000000031,0.6821269618177559
2010-08-03,21.0,21.950001,20.82,21.950001,21.950001,1230500.0,0.04923522944550651,20.92,20.35,21.290001,20.776000200000002,20.7890001,19.81599975,0.02842883034929869,62.36811405576293,-0.15022982529107765,-0.4259926668841729,1.130001,0.7135496448962539
2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000.0,-0.03143512385261393,21.950001,19.940001,20.950001,20.8840004,20.8930002,20.08899975,0.030951413272100974,57.47001228461708,-0.09510696946386688,-0.3598155274001117,1.3299999999999983,-0.25802519301097115
2010-08-05,21.540001,21.549999,20.049999,20.450001,20.450001,796200.0,-0.03809967074317977,21.26,20.92,20.549999,20.9040006,20.838000299999997,20.23849985,0.0313294983910763,48.97075884257472,-0.11545101154267812,-0.310942624228625,1.5,-0.12792990142387728
2010-08-06,20.1,20.16,19.52,19.59,19.59,741900.0,-0.04205383657438455,20.450001,21.950001,20.719999,20.8340004,20.6680002,20.34799985,0.033086165113931684,36.84807852694852,-0.19867846318228288,-0.2884897920193566,0.6400000000000006,-0.06819894498869628
2010-08-09,19.9,19.98,19.450001,19.6,19.6,812700.0,0.0005104645227158588,19.59,21.26,20.35,20.5700004,20.5330001,20.4754999,0.03304442805951877,45.152363510098276,-0.2608232932340293,-0.28295649226229114,0.5299990000000001,0.09543065103113624
2010-08-10,19.65,19.65,18.82,19.030001,19.030001,1281300.0,-0.029081581632653175,19.6,20.450001,19.940001,19.9860004,20.3810003,20.520000000000003,0.03362492724336997,42.28276464779126,-0.3520099231237559,-0.2967671784345841,0.8299999999999983,0.5765965300849021
2010-08-11,18.690001,18.879999,17.85,17.9,17.9,797600.0,-0.059379975860222034,19.030001,19.59,20.92,19.314000399999998,20.0990004,20.423,0.03682998392669198,30.76923554113263,-0.5095834602382254,-0.3393304347953124,1.029999,-0.37750721923046904
2010-08-12,17.799999,17.9,17.389999,17.6,17.6,691000.0,-0.016759776536312665,17.9,19.6,21.950001,18.7440002,19.8240004,20.30850005,0.036818570510529926,27.137543105632858,-0.6511629156955685,-0.40169693097536363,0.510000999999999,-0.13365095285857576
2010-08-13,18.18,18.450001,17.66,18.32,18.32,634000.0,0.040909090909090784,17.6,19.030001,21.26,18.490000199999997,19.662000300000003,20.1925001,0.04052606180877598,34.437865746998156,-0.6972304330402643,-0.4608036313883438,0.7900010000000002,-0.08248914616497827
2010-08-16,18.450001,18.799999,18.26,18.780001,18.780001,485800.0,0.025109224890829562,18.32,17.9,20.450001,18.326000399999998,19.4480004,20.03600015,0.03736940801907287,39.60048178613396,-0.6886823348568747,-0.50637937208205,0.5399989999999981,-0.23375394321766563
2010-08-17,18.959999,19.4,18.780001,19.15,19.15,447900.0,0.019701756139416604,18.780001,17.6,19.59,18.3500002,19.1680003,19.978500200000003,0.033079424735783805,40.98737554390074,-0.644621285455564,-0.5340277547567528,0.619999,-0.07801564429806507
2010-08-18,19.59,19.59,18.6,18.77,18.77,601300.0,-0.01984334203655347,19.15,18.32,19.6,18.524000199999996,18.9190003,19.906000249999998,0.03256296292169061,40.94036697247706,-0.6330677990533324,-0.5538357636160688,0.9899999999999984,0.34248716231301635
